City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
356,Fontem,CM,72.16,moderate rain,5.4685,9.8818,Vista Palace Hotel
357,Mangrol,IN,83.91,broken clouds,21.1167,70.1167,Hotel The Royal Honours
362,Punta De Bombon,PE,70.79,scattered clouds,-17.1717,-71.7931,Hotel Bedregal
365,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
366,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
367,Mahendranagar,NP,78.35,clear sky,28.9167,80.3333,Agan Cottage
370,Mitsamiouli,KM,82.27,scattered clouds,-11.3847,43.2844,Foyer ADM
371,Det Udom,TH,75.02,overcast clouds,14.906,105.0784,Chatsuda Resort
380,Zhuhai,CN,73.85,clear sky,22.2769,113.5678,珠海粤财假日酒店
384,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
386,Tarakan,ID,81.48,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
388,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
392,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
395,Arenys De Mar,ES,74.19,scattered clouds,41.5819,2.5494,Hotel Mitus
396,Harlingen,US,78.76,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
397,Innisfail,AU,73.18,broken clouds,-17.5333,146.0333,Moondarra Motel
398,Bahia Blanca,AR,76.46,overcast clouds,-38.7196,-62.2724,Hotel Argos
401,Angoche,MZ,77.99,light rain,-16.2325,39.9086,Guest House HESADA
404,Cockburn Town,TC,78.84,clear sky,21.4612,-71.1419,Osprey Beach Hotel
405,Eirunepe,BR,81.66,overcast clouds,-6.6603,-69.8736,Atrás de você
407,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
413,Hit,IQ,77.63,broken clouds,33.6416,42.8251,بيت ابو رباح
416,Kailahun,SL,78.24,overcast clouds,8.2833,-10.5667,MAWAC Guesthouse
417,Balkanabat,TM,66.16,overcast clouds,39.5108,54.3671,Nebitchi Hotel
418,Kathmandu,NP,68.22,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
422,Samfya,ZM,67.51,light rain,-11.3649,29.5565,Chita Lodge Samfya
423,San Quintin,MX,76.57,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
425,Tutoia,BR,81.75,overcast clouds,-2.7619,-42.2744,Pousada Guará's
427,Vanimo,PG,77.86,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
428,Barra Da Estiva,BR,81.97,clear sky,-13.6261,-41.3269,Pousada Central
432,Flinders,AU,67.37,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
433,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
439,Port Moresby,PG,75.61,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
448,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
449,Amli,IN,83.5,scattered clouds,20.2833,73.0167,Hotel Soubhagya Inn
450,San Luis,AR,84.9,clear sky,-33.295,-66.3356,Huarpes Hotel
451,Konibodom,TJ,72.48,overcast clouds,40.2843,70.4426,"Hotel ""Orom"""
459,Nueve De Julio,AR,83.37,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
460,Riosucio,CO,67.69,overcast clouds,5.4216,-75.7032,Finca Cafe La Ermita
463,Acarau,BR,82.53,broken clouds,-2.8856,-40.12,castelo pizzaria
464,Pontian Kecil,MY,75.52,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
466,Ewa Beach,US,75.6,clear sky,21.3156,-158.0072,Base Lodging
468,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
471,Sungairaya,ID,78.08,light rain,0.7,108.9,Rumah Kuku Moimoi Shelly
472,Maldonado,UY,76.39,light rain,-34.6667,-54.9167,La Cimarrona
473,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
474,Antsohihy,MG,76.17,light rain,-14.8796,47.9875,Hotel de Ville
476,Sirjan,IR,69.76,broken clouds,29.452,55.6814,MAPNA Building
477,Tabas,IR,79.02,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
478,San Pedro,PH,79.83,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
479,Chiplun,IN,78.13,clear sky,17.5333,73.5167,Hotel Reemz
484,Lenoir City,US,65.91,few clouds,35.7973,-84.256,"Holiday Inn Express & Suites Lenoir City (Knoxville Area), an IHG Hotel"
485,San Antonio,US,76.84,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
493,Eagle Pass,US,74.26,clear sky,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
497,Natitingou,BJ,84.81,broken clouds,10.3042,1.3796,Cotonou
500,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
501,Lichinga,MZ,66.29,scattered clouds,-13.3128,35.2406,Residencial Bendiak
504,Umm Lajj,SA,80.22,scattered clouds,25.0213,37.2685,Moon light Furnished Units
506,Koutsouras,GR,67.1,overcast clouds,35.0339,25.9469,The White Houses
508,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
509,Tamandare,BR,83.21,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
511,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
513,Rio Claro,BR,82.35,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
516,Pangkalanbuun,ID,72.95,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
517,Port Keats,AU,80.06,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
518,Clarence Town,AU,70.86,light rain,-32.5833,151.7833,River Downs Cottage
519,Sorong,ID,78.82,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
524,Guerrero Negro,MX,80.24,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
530,Mecca,SA,83.34,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
533,Aksu,CN,67.89,few clouds,41.1231,80.2644,Pudong Holiday Hotel
535,Emerald,AU,68.34,scattered clouds,-23.5333,148.1667,The Irish Village
536,Kavaratti,IN,83.88,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
538,Bandarbeyla,SO,80.49,few clouds,9.4942,50.8122,JABIR HOTEL
539,Nederland,US,71.64,clear sky,29.9744,-93.9924,"Holiday Inn Express & Suites Port Arthur Central-Mall Area, an IHG Hotel"
544,Jalu,LY,77.81,clear sky,29.0331,21.5482,صاحبة الفخامة
545,Dumai,ID,72.27,overcast clouds,1.6833,101.45,Grand Zuri Dumai
548,Portland,US,66.06,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
551,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
556,Huarmey,PE,75.92,scattered clouds,-10.0681,-78.1522,Hotel Miramar
563,Nabire,ID,76.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
564,Waingapu,ID,77.72,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
568,Sola,VU,81.54,overcast clouds,-13.8833,167.55,Leumerus Bungalows
569,Salinopolis,BR,77.65,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
572,Chongwe,ZM,67.82,overcast clouds,-15.3292,28.682,Grakas Lodge
575,La Plata,AR,78.03,clear sky,-34.9215,-57.9545,Hotel Corregidor
576,Banjar,ID,76.57,overcast clouds,-8.19,114.9675,The Hamsa Resort
579,Caravelas,BR,80.91,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
585,Gat,IL,81.39,overcast clouds,31.61,34.7642,OlusHome
586,Taltal,CL,70.36,scattered clouds,-25.4,-70.4833,Residencial Karime
589,Itarema,BR,80.73,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
592,Faya,SA,73.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
594,Haveri,IN,80.4,scattered clouds,14.8,75.4,Shivashakti Palace
595,Pittsburg,US,79.86,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
596,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
597,Divinopolis,BR,82.26,few clouds,-20.1389,-44.8839,Hotel Fátima
598,Yueyang,CN,66.07,clear sky,29.3333,113.0919,Delong Fortune Hotel
599,Trairi,BR,81.37,overcast clouds,-3.2778,-39.2689,janelas do mar
604,Biak,ID,75.79,broken clouds,-0.9131,122.8766,Penginapan Kim
613,Ailigandi,PA,82.62,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
614,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
616,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
618,Lukulu,ZM,69.71,light rain,-14.3707,23.242,Ruth Guest House
619,Grand-Santi,GF,83.34,light rain,4.25,-54.3833,Hotel La Villa Couacou
624,Acapulco,MX,78.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
627,Bowen,AU,75.27,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
630,Paita,PE,78.15,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
631,Santa Fe,AR,84.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
632,Mount Pleasant,US,82.09,haze,32.7941,-79.8626,Best Western Patriots Point
637,Luau,AO,67.48,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
638,Kuah,MY,78.78,few clouds,6.3265,99.8432,Azio Hotel
639,Curanilahue,CL,65.73,scattered clouds,-37.4667,-73.35,Hotel Plaza los Leones
643,Tumaco,CO,81.79,light rain,1.7986,-78.8156,Unión Victoria
647,Bundaberg,AU,70.09,overcast clouds,-24.85,152.35,Takalvan Motel
655,Takoradi,GH,83.52,overcast clouds,4.8845,-1.7554,Raybow International Hotel
659,Galle,LK,80.28,overcast clouds,6.0367,80.217,Amangalla
